a,b,c,d,e,f,g,h,i,j,k,l,m,n
5,7,45,2,3,9,2,1,0,2,16,10,6,1
5,7,45,2,3,9,2,1,0,3,16,10,6,1
5,7,45,2,3,9,2,1,0,4,16,10,6,1
5,7,45,2,3,9,2,1,0,5,16,10,6,1
5,7,45,2,3,9,2,1,0,6,16,10,6,1
5,7,45,2,3,9,2,1,0,7,16,10,6,1
7,4,3,13,1,7,5,4,0,0,2,22,4,0
7,4,3,13,1,7,5,4,0,1,2,22,4,0
7,4,3,13,1,7,5,4,0,2,2,22,4,0
7,4,3,13,1,7,5,4,0,3,2,22,4,0
7,4,3,13,1,7,5,4,0,4,2,22,4,0
7,4,3,13,1,7,5,4,0,5,2,22,4,0
7,4,3,13,1,7,5,4,0,6,2,22,4,0
7,4,3,13,1,7,5,4,0,7,2,22,4,0
3,4,23,12,0,7,5,3,1,0,2,0,41,0
3,4,23,12,0,7,5,3,1,1,2,0,41,0
3,4,23,12,0,7,5,3,1,2,2,0,41,0
3,4,23,12,0,7,5,3,1,3,2,0,41,0
3,4,23,12,0,7,5,3,1,4,2,0,41,0
3,4,23,12,0,7,5,3,1,5,2,0,41,0
3,4,23,12,0,7,5,3,1,6,2,0,41,0
8,8,53,12,3,1,4,3,1,0,12,55,24,0
8,8,53,12,3,1,4,3,1,1,12,55,24,0
8,8,53,12,3,1,4,3,1,2,12,55,24,0
8,8,53,12,3,1,4,3,1,3,12,55,24,0
8,8,53,12,3,1,4,3,1,4,12,55,24,0
8,8,53,12,3,1,4,3,1,5,12,55,24,0
8,8,53,12,3,1,4,3,1,6,12,55,24,0
3,8,28,13,0,9,3,3,0,0,12,28,0,0
3,8,28,13,0,9,3,3,0,1,12,28,0,0
3,8,28,13,0,9,3,3,0,2,12,28,0,0
3,8,28,13,0,9,3,3,0,3,12,28,0,0
3,8,28,13,0,9,3,3,0,4,12,28,0,0
3,8,28,13,0,9,3,3,0,5,12,28,0,0
8,5,7,10,6,4,4,3,0,0,1,4,34,1
8,5,7,10,6,4,4,3,0,1,1,4,34,1
8,5,7,10,6,4,4,3,0,2,1,4,34,1
8,5,7,10,6,4,4,3,0,3,1,4,34,1
5,7,14,3,0,5,3,4,0,0,12,86,31,0
5,7,14,3,0,5,3,4,0,1,12,86,31,0
5,7,14,3,0,5,3,4,0,2,12,86,31,0
5,7,14,3,0,5,3,4,0,3,12,86,31,0
5,7,14,3,0,5,3,4,0,4,12,86,31,0
5,7,14,3,0,5,3,4,0,5,12,86,31,0
7,4,5,2,4,7,0,3,1,0,22,81,4,1
7,4,5,2,4,7,0,3,1,1,22,81,4,1
7,4,5,2,4,7,0,3,1,2,22,81,4,1
7,4,5,2,4,7,0,3,1,3,22,81,4,1
7,4,5,2,4,7,0,3,1,4,22,81,4,1
7,4,5,2,4,7,0,3,1,5,22,81,4,1
7,4,5,2,4,7,0,3,1,6,22,81,4,1
7,4,5,2,4,7,0,3,1,7,22,81,4,1
4,6,34,8,3,9,4,1,0,0,23,8,29,0
4,6,34,8,3,9,4,1,0,1,23,8,29,0
4,6,34,8,3,9,4,1,0,2,23,8,29,0
4,6,34,8,3,9,4,1,0,3,23,8,29,0
4,6,34,8,3,9,4,1,0,4,23,8,29,0
4,6,34,8,3,9,4,1,0,5,23,8,29,0
4,6,34,8,3,9,4,1,0,6,23,8,29,0
4,6,34,8,3,9,4,1,0,7,23,8,29,0
8,6,33,7,4,2,1,1,1,0,23,59,2,0
8,6,33,7,4,2,1,1,1,1,23,59,2,0
8,6,33,7,4,2,1,1,1,2,23,59,2,0
8,6,33,7,4,2,1,1,1,3,23,59,2,0
8,6,33,7,4,2,1,1,1,4,23,59,2,0
8,6,33,7,4,2,1,1,1,5,23,59,2,0
8,6,33,7,4,2,1,1,1,6,23,59,2,0
8,6,33,7,4,2,1,1,1,7,23,59,2,0
2,2,50,8,1,7,5,3,0,0,1,35,5,0
2,2,50,8,1,7,5,3,0,1,1,35,5,0
2,2,50,8,1,7,5,3,0,2,1,35,5,0
2,2,50,8,1,7,5,3,0,3,1,35,5,0
2,2,50,8,1,7,5,3,0,4,1,35,5,0
2,2,50,8,1,7,5,3,0,5,1,35,5,0
2,2,50,8,1,7,5,3,0,6,1,35,5,0
2,2,50,8,1,7,5,3,0,7,1,35,5,0
5,3,51,8,5,6,1,3,1,0,3,23,7,0
5,3,51,8,5,6,1,3,1,1,3,23,7,0
5,3,51,8,5,6,1,3,1,2,3,23,7,0
5,3,51,8,5,6,1,3,1,3,3,23,7,0
5,3,51,8,5,6,1,3,1,4,3,23,7,0
5,3,51,8,5,6,1,3,1,5,3,23,7,0
5,3,51,8,5,6,1,3,1,6,3,23,7,0
5,3,51,8,5,6,1,3,1,7,3,23,7,0
2,0,20,0,1,6,1,0,0,0,30,59,6,0
2,0,20,0,1,6,1,0,0,1,30,59,6,0
2,0,20,0,1,6,1,0,0,2,30,59,6,0
2,0,20,0,1,6,1,0,0,3,30,59,6,0
2,0,20,0,1,6,1,0,0,4,30,59,6,0
2,0,20,0,1,6,1,0,0,5,30,59,6,0
2,0,20,0,1,6,1,0,0,6,30,59,6,0
2,0,20,0,1,6,1,0,0,7,30,59,6,0
2,7,10,1,3,10,2,1,0,0,0,9,38,0
2,7,10,1,3,10,2,1,0,1,0,9,38,0
2,7,10,1,3,10,2,1,0,2,0,9,38,0
2,7,10,1,3,10,2,1,0,3,0,9,38,0
2,7,10,1,3,10,2,1,0,4,0,9,38,0
2,7,10,1,3,10,2,1,0,5,0,9,38,0
2,7,10,1,3,10,2,1,0,6,0,9,38,0
2,7,10,1,3,10,2,1,0,7,0,9,38,0
4,2,6,0,1,8,5,0,0,0,7,62,35,0
4,2,6,0,1,8,5,0,0,1,7,62,35,0
4,2,6,0,1,8,5,0,0,2,7,62,35,0
4,2,6,0,1,8,5,0,0,3,7,62,35,0
4,2,6,0,1,8,5,0,0,4,7,62,35,0
4,2,6,0,1,8,5,0,0,5,7,62,35,0
4,2,6,0,1,8,5,0,0,6,7,62,35,0
4,2,6,0,1,8,5,0,0,7,7,62,35,0
8,2,12,14,4,10,3,0,0,0,3,8,24,1
8,2,12,14,4,10,3,0,0,1,3,8,24,1
8,2,12,14,4,10,3,0,0,2,3,8,24,1
8,2,12,14,4,10,3,0,0,3,3,8,24,1
8,2,12,14,4,10,3,0,0,4,3,8,24,1
8,2,12,14,4,10,3,0,0,5,3,8,24,1
8,2,12,14,4,10,3,0,0,6,3,8,24,1
8,2,12,14,4,10,3,0,0,7,3,8,24,1
1,4,4,10,2,9,1,3,1,0,24,16,34,1
1,4,4,10,2,9,1,3,1,1,24,16,34,1
1,4,4,10,2,9,1,3,1,2,24,16,34,1
1,4,4,10,2,9,1,3,1,3,24,16,34,1
1,4,4,10,2,9,1,3,1,4,24,16,34,1
1,4,4,10,2,9,1,3,1,5,24,16,34,1
1,4,4,10,2,9,1,3,1,6,24,16,34,1
7,4,2,15,1,9,2,2,0,0,26,79,34,1
7,4,2,15,1,9,2,2,0,1,26,79,34,1
7,4,2,15,1,9,2,2,0,2,26,79,34,1
7,4,2,15,1,9,2,2,0,3,26,79,34,1
7,4,2,15,1,9,2,2,0,4,26,79,34,1
7,4,2,15,1,9,2,2,0,5,26,79,34,1
7,4,2,15,1,9,2,2,0,6,26,79,34,1
7,4,2,15,1,9,2,2,0,7,26,79,34,1
2,3,56,6,0,4,1,4,0,0,3,12,33,0
2,3,56,6,0,4,1,4,0,1,3,12,33,0
2,3,56,6,0,4,1,4,0,2,3,12,33,0
2,3,56,6,0,4,1,4,0,3,3,12,33,0
2,3,56,6,0,4,1,4,0,4,3,12,33,0
2,3,56,6,0,4,1,4,0,5,3,12,33,0
2,3,56,6,0,4,1,4,0,6,3,12,33,0
3,6,32,4,5,3,5,1,0,0,12,45,32,0
3,6,32,4,5,3,5,1,0,1,12,45,32,0
3,6,32,4,5,3,5,1,0,2,12,45,32,0
3,6,32,4,5,3,5,1,0,3,12,45,32,0
3,6,32,4,5,3,5,1,0,4,12,45,32,0
3,6,32,4,5,3,5,1,0,5,12,45,32,0
3,6,32,4,5,3,5,1,0,6,12,45,32,0
3,6,32,4,5,3,5,1,0,7,12,45,32,0
3,2,26,1,1,3,0,1,0,0,15,84,4,0
3,2,26,1,1,3,0,1,0,1,15,84,4,0
3,2,26,1,1,3,0,1,0,2,15,84,4,0
3,2,26,1,1,3,0,1,0,3,15,84,4,0
3,2,26,1,1,3,0,1,0,4,15,84,4,0
3,2,26,1,1,3,0,1,0,5,15,84,4,0
3,2,26,1,1,3,0,1,0,6,15,84,4,0
3,2,26,1,1,3,0,1,0,7,15,84,4,0
6,5,31,7,2,7,4,4,1,0,9,60,18,1
6,5,31,7,2,7,4,4,1,1,9,60,18,1
6,5,31,7,2,7,4,4,1,2,9,60,18,1
6,5,31,7,2,7,4,4,1,3,9,60,18,1
6,5,31,7,2,7,4,4,1,4,9,60,18,1
6,5,31,7,2,7,4,4,1,5,9,60,18,1
6,5,31,7,2,7,4,4,1,6,9,60,18,1
6,5,31,7,2,7,4,4,1,7,9,60,18,1
2,3,10,7,2,7,2,1,1,0,8,47,23,0
2,3,10,7,2,7,2,1,1,1,8,47,23,0
2,3,10,7,2,7,2,1,1,2,8,47,23,0
2,3,10,7,2,7,2,1,1,3,8,47,23,0
2,3,10,7,2,7,2,1,1,4,8,47,23,0
2,3,10,7,2,7,2,1,1,5,8,47,23,0
2,3,10,7,2,7,2,1,1,6,8,47,23,0
2,3,10,7,2,7,2,1,1,7,8,47,23,0
3,1,55,13,2,1,4,4,1,0,13,20,16,0
3,1,55,13,2,1,4,4,1,1,13,20,16,0
3,1,55,13,2,1,4,4,1,2,13,20,16,0
3,1,55,13,2,1,4,4,1,3,13,20,16,0
3,1,55,13,2,1,4,4,1,4,13,20,16,0
3,1,55,13,2,1,4,4,1,5,13,20,16,0
3,1,55,13,2,1,4,4,1,6,13,20,16,0
5,8,44,13,1,6,0,2,1,0,18,83,10,0
5,8,44,13,1,6,0,2,1,1,18,83,10,0
5,8,44,13,1,6,0,2,1,2,18,83,10,0
5,8,44,13,1,6,0,2,1,3,18,83,10,0
5,8,44,13,1,6,0,2,1,4,18,83,10,0
5,8,44,13,1,6,0,2,1,5,18,83,10,0
5,8,44,13,1,6,0,2,1,6,18,83,10,0
5,8,44,13,1,6,0,2,1,7,18,83,10,0
5,7,26,6,4,9,1,4,1,0,3,11,11,0
5,7,26,6,4,9,1,4,1,1,3,11,11,0
5,7,26,6,4,9,1,4,1,2,3,11,11,0
5,7,26,6,4,9,1,4,1,3,3,11,11,0
5,7,26,6,4,9,1,4,1,4,3,11,11,0
5,7,26,6,4,9,1,4,1,5,3,11,11,0
5,7,26,6,4,9,1,4,1,6,3,11,11,0
5,7,26,6,4,9,1,4,1,7,3,11,11,0
6,4,53,10,1,1,2,3,0,0,22,36,19,1
6,4,53,10,1,1,2,3,0,1,22,36,19,1
6,4,53,10,1,1,2,3,0,2,22,36,19,1
6,4,53,10,1,1,2,3,0,3,22,36,19,1
6,4,53,10,1,1,2,3,0,4,22,36,19,1
6,4,53,10,1,1,2,3,0,5,22,36,19,1
6,4,53,10,1,1,2,3,0,6,22,36,19,1
6,7,12,12,1,2,5,3,1,0,0,19,19,1
6,7,12,12,1,2,5,3,1,1,0,19,19,1
6,7,12,12,1,2,5,3,1,2,0,19,19,1
6,7,12,12,1,2,5,3,1,3,0,19,19,1
6,7,12,12,1,2,5,3,1,4,0,19,19,1
6,7,12,12,1,2,5,3,1,5,0,19,19,1
6,7,12,12,1,2,5,3,1,6,0,19,19,1
1,3,11,6,1,4,1,0,1,0,19,71,12,0
1,3,11,6,1,4,1,0,1,1,19,71,12,0
1,3,11,6,1,4,1,0,1,2,19,71,12,0
1,3,11,6,1,4,1,0,1,3,19,71,12,0
1,3,11,6,1,4,1,0,1,4,19,71,12,0
1,3,11,6,1,4,1,0,1,5,19,71,12,0
1,3,11,6,1,4,1,0,1,6,19,71,12,0
8,3,56,2,0,12,4,3,0,0,20,79,25,1
8,3,56,2,0,12,4,3,0,1,20,79,25,1
8,3,56,2,0,12,4,3,0,2,20,79,25,1
8,3,56,2,0,12,4,3,0,3,20,79,25,1
8,3,56,2,0,12,4,3,0,4,20,79,25,1
8,3,56,2,0,12,4,3,0,5,20,79,25,1
4,3,26,12,1,10,0,3,1,0,5,9,24,0
4,3,26,12,1,10,0,3,1,1,5,9,24,0
4,3,26,12,1,10,0,3,1,2,5,9,24,0
4,3,26,12,1,10,0,3,1,3,5,9,24,0
4,3,26,12,1,10,0,3,1,4,5,9,24,0
4,3,26,12,1,10,0,3,1,5,5,9,24,0
4,3,26,12,1,10,0,3,1,6,5,9,24,0
4,3,26,12,1,10,0,3,1,7,5,9,24,0
3,2,56,7,2,13,1,3,1,0,8,14,24,1
3,2,56,7,2,13,1,3,1,1,8,14,24,1
3,2,56,7,2,13,1,3,1,2,8,14,24,1
3,2,56,7,2,13,1,3,1,3,8,14,24,1
3,2,56,7,2,13,1,3,1,4,8,14,24,1
3,2,56,7,2,13,1,3,1,5,8,14,24,1
3,2,56,7,2,13,1,3,1,6,8,14,24,1
3,2,56,7,2,13,1,3,1,7,8,14,24,1
0,1,48,14,0,9,0,1,1,0,23,31,5,0
0,1,48,14,0,9,0,1,1,1,23,31,5,0
0,1,48,14,0,9,0,1,1,2,23,31,5,0
0,1,48,14,0,9,0,1,1,3,23,31,5,0
0,1,48,14,0,9,0,1,1,4,23,31,5,0
0,1,48,14,0,9,0,1,1,5,23,31,5,0
8,3,26,1,0,5,3,2,1,0,20,11,38,1
8,3,26,1,0,5,3,2,1,1,20,11,38,1
8,3,26,1,0,5,3,2,1,2,20,11,38,1
8,3,26,1,0,5,3,2,1,3,20,11,38,1
8,3,26,1,0,5,3,2,1,4,20,11,38,1
8,3,26,1,0,5,3,2,1,5,20,11,38,1
8,3,26,1,0,5,3,2,1,6,20,11,38,1
4,7,31,8,6,13,0,2,0,0,24,7,11,0
4,7,31,8,6,13,0,2,0,1,24,7,11,0
4,7,31,8,6,13,0,2,0,2,24,7,11,0
4,7,31,8,6,13,0,2,0,3,24,7,11,0
4,7,31,8,6,13,0,2,0,4,24,7,11,0
4,7,31,8,6,13,0,2,0,5,24,7,11,0
4,7,31,8,6,13,0,2,0,6,24,7,11,0
4,7,31,8,6,13,0,2,0,7,24,7,11,0
8,0,49,3,5,12,3,2,0,0,2,36,15,0
8,0,49,3,5,12,3,2,0,1,2,36,15,0
8,0,49,3,5,12,3,2,0,2,2,36,15,0
8,0,49,3,5,12,3,2,0,3,2,36,15,0
8,0,49,3,5,12,3,2,0,4,2,36,15,0
8,0,49,3,5,12,3,2,0,5,2,36,15,0
8,0,49,3,5,12,3,2,0,6,2,36,15,0
8,0,49,3,5,12,3,2,0,7,2,36,15,0
8,0,3,7,6,4,5,1,0,0,23,49,2,0
8,0,3,7,6,4,5,1,0,1,23,49,2,0
8,0,3,7,6,4,5,1,0,2,23,49,2,0
8,0,3,7,6,4,5,1,0,3,23,49,2,0
8,0,3,7,6,4,5,1,0,4,23,49,2,0
8,0,3,7,6,4,5,1,0,5,23,49,2,0
8,0,3,7,6,4,5,1,0,6,23,49,2,0
2,8,47,8,5,7,3,1,0,0,23,75,33,0
2,8,47,8,5,7,3,1,0,1,23,75,33,0
2,8,47,8,5,7,3,1,0,2,23,75,33,0
2,8,47,8,5,7,3,1,0,3,23,75,33,0
2,8,47,8,5,7,3,1,0,4,23,75,33,0
2,8,47,8,5,7,3,1,0,5,23,75,33,0
2,8,47,8,5,7,3,1,0,6,23,75,33,0
2,8,47,8,5,7,3,1,0,7,23,75,33,0
2,5,12,0,1,8,3,0,1,0,25,76,37,0
2,5,12,0,1,8,3,0,1,1,25,76,37,0
2,5,12,0,1,8,3,0,1,2,25,76,37,0
2,5,12,0,1,8,3,0,1,3,25,76,37,0
2,5,12,0,1,8,3,0,1,4,25,76,37,0
2,5,12,0,1,8,3,0,1,5,25,76,37,0
2,5,12,0,1,8,3,0,1,6,25,76,37,0
2,5,12,0,1,8,3,0,1,7,25,76,37,0
7,0,6,7,1,13,3,4,1,0,20,85,24,0
7,0,6,7,1,13,3,4,1,1,20,85,24,0
7,0,6,7,1,13,3,4,1,2,20,85,24,0
7,0,6,7,1,13,3,4,1,3,20,85,24,0
7,0,6,7,1,13,3,4,1,4,20,85,24,0
7,0,6,7,1,13,3,4,1,5,20,85,24,0
7,0,6,7,1,13,3,4,1,6,20,85,24,0
7,0,6,7,1,13,3,4,1,7,20,85,24,0
6,2,43,15,2,0,2,4,1,0,5,65,29,0
6,2,43,15,2,0,2,4,1,1,5,65,29,0
6,2,43,15,2,0,2,4,1,2,5,65,29,0
6,2,43,15,2,0,2,4,1,3,5,65,29,0
6,2,43,15,2,0,2,4,1,4,5,65,29,0
6,2,43,15,2,0,2,4,1,5,5,65,29,0
6,2,43,15,2,0,2,4,1,6,5,65,29,0
1,3,16,15,5,0,5,1,1,0,24,39,7,0
1,3,16,15,5,0,5,1,1,1,24,39,7,0
1,3,16,15,5,0,5,1,1,2,24,39,7,0
1,3,16,15,5,0,5,1,1,3,24,39,7,0
1,3,16,15,5,0,5,1,1,4,24,39,7,0
1,3,16,15,5,0,5,1,1,5,24,39,7,0
1,3,16,15,5,0,5,1,1,6,24,39,7,0
7,8,11,8,6,9,3,4,1,0,3,62,33,1
7,8,11,8,6,9,3,4,1,1,3,62,33,1
7,8,11,8,6,9,3,4,1,2,3,62,33,1
7,8,11,8,6,9,3,4,1,3,3,62,33,1
7,8,11,8,6,9,3,4,1,4,3,62,33,1
7,8,11,8,6,9,3,4,1,5,3,62,33,1
7,8,11,8,6,9,3,4,1,6,3,62,33,1
7,8,11,8,6,9,3,4,1,7,3,62,33,1
5,0,49,4,4,2,0,2,1,0,13,50,10,0
5,0,49,4,4,2,0,2,1,1,13,50,10,0
5,0,49,4,4,2,0,2,1,2,13,50,10,0
5,0,49,4,4,2,0,2,1,3,13,50,10,0
5,0,49,4,4,2,0,2,1,4,13,50,10,0
5,0,49,4,4,2,0,2,1,5,13,50,10,0
5,0,49,4,4,2,0,2,1,6,13,50,10,0
5,0,49,4,4,2,0,2,1,7,13,50,10,0
6,7,5,2,4,11,1,0,0,0,23,72,27,1
6,7,5,2,4,11,1,0,0,1,23,72,27,1
6,7,5,2,4,11,1,0,0,2,23,72,27,1
6,7,5,2,4,11,1,0,0,3,23,72,27,1
6,7,5,2,4,11,1,0,0,4,23,72,27,1
6,7,5,2,4,11,1,0,0,5,23,72,27,1
6,7,5,2,4,11,1,0,0,6,23,72,27,1
6,7,5,2,4,11,1,0,0,7,23,72,27,1
3,2,38,6,1,7,2,0,1,0,16,54,7,1
3,2,38,6,1,7,2,0,1,1,16,54,7,1
3,2,38,6,1,7,2,0,1,2,16,54,7,1
3,2,38,6,1,7,2,0,1,3,16,54,7,1
3,2,38,6,1,7,2,0,1,4,16,54,7,1
3,2,38,6,1,7,2,0,1,5,16,54,7,1
3,2,38,6,1,7,2,0,1,6,16,54,7,1
3,2,38,6,1,7,2,0,1,7,16,54,7,1
4,4,49,6,4,3,1,1,0,0,3,89,38,1
4,4,49,6,4,3,1,1,0,1,3,89,38,1
4,4,49,6,4,3,1,1,0,2,3,89,38,1
4,4,49,6,4,3,1,1,0,3,3,89,38,1
4,4,49,6,4,3,1,1,0,4,3,89,38,1
4,4,49,6,4,3,1,1,0,5,3,89,38,1
4,4,49,6,4,3,1,1,0,6,3,89,38,1
4,4,49,6,4,3,1,1,0,7,3,89,38,1
8,2,54,11,4,11,3,2,0,0,1,12,8,1
8,2,54,11,4,11,3,2,0,1,1,12,8,1
8,2,54,11,4,11,3,2,0,2,1,12,8,1
8,2,54,11,4,11,3,2,0,3,1,12,8,1
8,2,54,11,4,11,3,2,0,4,1,12,8,1
8,2,54,11,4,11,3,2,0,5,1,12,8,1
8,2,54,11,4,11,3,2,0,6,1,12,8,1
8,2,54,11,4,11,3,2,0,7,1,12,8,1
5,4,33,8,4,7,1,3,1,0,24,50,39,1
5,4,33,8,4,7,1,3,1,1,24,50,39,1
5,4,33,8,4,7,1,3,1,2,24,50,39,1
5,4,33,8,4,7,1,3,1,3,24,50,39,1
5,4,33,8,4,7,1,3,1,4,24,50,39,1
5,4,33,8,4,7,1,3,1,5,24,50,39,1
5,4,33,8,4,7,1,3,1,6,24,50,39,1
5,4,33,8,4,7,1,3,1,7,24,50,39,1
8,7,25,7,2,9,5,4,0,0,14,73,40,1
8,7,25,7,2,9,5,4,0,1,14,73,40,1
8,7,25,7,2,9,5,4,0,2,14,73,40,1
8,7,25,7,2,9,5,4,0,3,14,73,40,1
8,7,25,7,2,9,5,4,0,4,14,73,40,1
8,7,25,7,2,9,5,4,0,5,14,73,40,1
8,7,25,7,2,9,5,4,0,6,14,73,40,1
8,7,25,7,2,9,5,4,0,7,14,73,40,1
